"","Status","student_id","Last_names","First_names","Grade_lv","Academy","PAT","IEP","ELL","ETH","INT","student_email","contact","A","B","C","D","total","F","Attend","credits","teacher_period1","class_period1","grade_period1","percent_period1","teacher_period2","class_period2","grade_period2","percent_period2","teacher_period3","class_period3","grade_period3","percent_period3","teacher_period4","class_period4","grade_period4","percent_period4","teacher_period5","class_period5","grade_period5","percent_period5","teacher_period6","class_period6","grade_period6","percent_period6","teacher_period7","class_period7","grade_period7","percent_period7","teacher_period8","class_period8","grade_period8","percent_period8"
"0","In-Person",11,"_11","Student",9,"academy_5","teacher_32",NA,"No Services","U",0,"email","parent",0,0,0,0,0,0,"94.6%",17,"teacher_83","Run/Ski","B",82,"teacher_81","Metal Shop","A",95,"teacher_77","English 1","A",92,"teacher_28","Weight lifting","B",86,"teacher_78","Personal finance","F",59,"teacher_12","acting","C",73,"teacher_62","Speech","B",89,"teacher_63","Sports","B",88
"0","In-Person",12,"_12","Student",10,"academy_2","teacher_19","Yes","No Services","I",0,"email","parent",0,0,0,0,0,0,"96.1%",16,"teacher_25","Physics","A",90,"teacher_15","Wood shop","A",90,"teacher_30","Chemistry","B",87,"teacher_26","American History","D",66,"teacher_40","Biology","B",88,"teacher_77","English 1","B",84,"teacher_36","English 4","A",99,"teacher_81","Programming","F",48
"0","In-Person",13,"_13","Student",10,"academy_5","teacher_99","Yes","No Services","I",0,"email","parent",0,0,0,0,0,0,"99.5%",4,"teacher_83","Run/Ski","B",83,"teacher_1","Statistics","B",89,"teacher_40","Biology","A",96,"teacher_25","Physics","C",73,"teacher_12","acting","B",87,"teacher_32","Geography","D",65,"teacher_78","Personal finance","A",100,"teacher_24","Trigonometry","B",81
"0","In-Person",14,"_14","Student",9,"academy_2","teacher_5",NA,"No Services","I",0,"email","parent",0,0,0,0,0,0,"88.2%",7,"teacher_22","English 2","B",86,"teacher_41","PE","D",66,"teacher_15","Wood shop","B",88,"teacher_81","Metal Shop","B",84,"teacher_84","Economics","B",89,"teacher_68","Algebra 1","B",80,"teacher_59","Pre-Calc","C",78,"teacher_25","Physics","B",88
"0","In-Person",15,"_15","Student",12,"academy_6","teacher_38","Yes","No Services","P",0,"email","parent",0,0,0,0,0,0,"99.5%",19,"teacher_26","American History","F",55,"teacher_24","Trigonometry","A",96,"teacher_24","World History","B",89,"teacher_38","Forensics","A",93,"teacher_77","English 1","A",90,"teacher_18","Painting","D",69,"teacher_81","Programming","D",69,"teacher_22","English 2","A",93
"0","In-Person",16,"_16","Student",11,"academy_6","teacher_31",NA,"No Services","W",0,"email","parent",0,0,0,0,0,0,"96.2%",21,"teacher_63","English 3","B",85,"teacher_25","Physics","A",95,"teacher_40","Biology","B",83,"teacher_81","Programming","F",59,"teacher_12","acting","A",91,"teacher_68","Algebra 1","D",65,"teacher_51","Auto Shop","C",79,"teacher_45","Sculpting","C",76
"0","In-Person",17,"_17","Student",10,"academy_2","teacher_52",NA,"No Services","P",0,"email","parent",0,0,0,0,0,0,"48.7%",16,"teacher_62","Speech","F",52,"teacher_83","Run/Ski","B",87,"teacher_24","Trigonometry","D",69,"teacher_26","American History","A",90,"teacher_63","Sports","B",87,"teacher_81","Metal Shop","A",91,"teacher_51","Auto Shop","A",98,"teacher_81","Programming","B",81
"0","In-Person",18,"_18","Student",10,"academy_6","teacher_8",NA,"No Services","B",0,"email","parent",0,0,0,0,0,0,"96%",23,"teacher_31","Genetics","A",92,"teacher_24","World History","A",96,"teacher_55","Environmental Science","D",68,"teacher_48","Algebra 2","A",94,"teacher_30","Chemistry","C",70,"teacher_12","acting","B",89,"teacher_68","Algebra 1","F",49,"teacher_1","Statistics","A",91
"0","In-Person",19,"_19","Student",12,"academy_1","teacher_57",NA,"No Services","I",0,"email","parent",0,0,0,0,0,0,"37.1%",24,"teacher_15","Wood shop","A",95,"teacher_1","Statistics","A",97,"teacher_51","Auto Shop","B",80,"teacher_24","World History","F",47,"teacher_62","Speech","F",53,"teacher_18","Painting","D",64,"teacher_47","Geometry","C",79,"teacher_30","Chemistry","F",56
"0","In-Person",20,"_20","Student",9,"academy_4","teacher_94",NA,"No Services","B",0,"email","parent",0,0,0,0,0,0,"92.8%",9,"teacher_25","Physics","A",96,"teacher_77","English 1","A",96,"teacher_83","Run/Ski","B",83,"teacher_64","Geology","A",95,"teacher_30","Chemistry","F",58,"teacher_68","Algebra 1","A",93,"teacher_39","Culinary Arts","F",59,"teacher_62","Speech","A",95
"0","In-Person",21,"_21","Student",10,"academy_3","teacher_47",NA,"No Services","H",0,"email","parent",0,0,0,0,0,0,"68.1%",21,"teacher_1","Statistics","B",86,"teacher_63","Sports","B",80,"teacher_81","Metal Shop","B",83,"teacher_64","Geology","A",99,"teacher_81","Programming","C",79,"teacher_62","Speech","C",79,"teacher_22","English 2","C",71,"teacher_96","Theatre Craft","C",75
"0","In-Person",22,"_22","Student",10,"academy_2","teacher_20","Yes","No Services","A",0,"email","parent",0,0,0,0,0,0,"98.5%",14,"teacher_81","Metal Shop","A",100,"teacher_96","Theatre Craft","B",83,"teacher_63","English 3","C",78,"teacher_31","Genetics","B",81,"teacher_84","Economics","A",91,"teacher_47","Geometry","A",96,"teacher_59","Pre-Calc","A",95,"teacher_22","English 2","A",93
"0","In-Person",23,"_23","Student",10,"academy_5","teacher_83",NA,"No Services","U",0,"email","parent",0,0,0,0,0,0,"90.3%",23,"teacher_63","Sports","B",87,"teacher_38","Forensics","C",78,"teacher_59","Home Economics","C",78,"teacher_12","acting","B",82,"teacher_47","Geometry","B",87,"teacher_51","Auto Shop","B",81,"teacher_40","Biology","B",86,"teacher_64","Geology","B",88
"0","In-Person",24,"_24","Student",12,"academy_4","teacher_76",NA,"No Services","P",0,"email","parent",0,0,0,0,0,0,"94.1%",17,"teacher_28","Weight lifting","B",80,"teacher_68","Algebra 1","D",69,"teacher_83","Run/Ski","A",91,"teacher_39","Culinary Arts","A",92,"teacher_81","Metal Shop","B",81,"teacher_15","Wood shop","C",73,"teacher_59","Pre-Calc","F",53,"teacher_47","Geometry","C",74
"0","In-Person",25,"_25","Student",11,"academy_6","teacher_18","Yes","No Services","P",0,"email","parent",0,0,0,0,0,0,"84.2%",18,"teacher_24","World History","A",98,"teacher_36","English 4","A",91,"teacher_1","Statistics","F",34,"teacher_79","Engineering","A",98,"teacher_40","Biology","C",79,"teacher_63","Sports","A",98,"teacher_31","Genetics","C",75,"teacher_59","Home Economics","D",60
"0","In-Person",26,"_26","Student",10,"academy_3","teacher_57",NA,"No Services","P",0,"email","parent",0,0,0,0,0,0,"87%",23,"teacher_59","Pre-Calc","B",88,"teacher_18","Painting","A",94,"teacher_47","Geometry","C",72,"teacher_22","English 2","B",85,"teacher_12","acting","C",71,"teacher_30","Chemistry","F",56,"teacher_51","Auto Shop","C",75,"teacher_63","Sports","C",79
"0","In-Person",27,"_27","Student",12,"academy_5","teacher_57","Yes","No Services","A",0,"email","parent",0,0,0,0,0,0,"99.6%",8,"teacher_38","Forensics","C",78,"teacher_25","Physics","C",73,"teacher_68","Algebra 1","B",88,"teacher_95","Auto-Cad","A",94,"teacher_22","English 2","A",93,"teacher_79","Engineering","D",64,"teacher_18","Painting","C",71,"teacher_41","PE","C",73
"0","In-Person",28,"_28","Student",11,"academy_1","teacher_64","Yes","No Services","B",0,"email","parent",0,0,0,0,0,0,"97.9%",13,"teacher_78","Personal finance","B",89,"teacher_24","Trigonometry","D",62,"teacher_32","Geography","C",75,"teacher_63","Sports","A",91,"teacher_83","Run/Ski","D",64,"teacher_81","Programming","A",92,"teacher_77","English 1","B",83,"teacher_55","Environmental Science","A",97
"0","In-Person",29,"_29","Student",10,"academy_5","teacher_76","Yes","No Services","U",0,"email","parent",0,0,0,0,0,0,"93.7%",23,"teacher_31","Genetics","B",81,"teacher_45","Sculpting","C",79,"teacher_78","Personal finance","C",73,"teacher_24","Drawing","B",84,"teacher_40","Biology","A",95,"teacher_95","Auto-Cad","A",90,"teacher_81","Metal Shop","A",93,"teacher_24","World History","A",92
"0","In-Person",30,"_30","Student",11,"academy_6","teacher_81","Yes","No Services","M",0,"email","parent",0,0,0,0,0,0,"98.8%",21,"teacher_47","Geometry","B",82,"teacher_81","Programming","B",82,"teacher_24","Trigonometry","B",88,"teacher_59","Home Economics","B",88,"teacher_32","Geography","D",61,"teacher_79","Engineering","C",77,"teacher_38","Forensics","C",74,"teacher_95","Auto-Cad","C",73
"0","In-Person",31,"_31","Student",9,"academy_6","teacher_55",NA,"No Services","I",0,"email","parent",0,0,0,0,0,0,"94.9%",12,"teacher_83","Run/Ski","A",91,"teacher_78","Personal finance","A",93,"teacher_24","Drawing","D",66,"teacher_64","Geology","D",68,"teacher_26","American History","C",71,"teacher_32","Geography","A",93,"teacher_12","acting","A",90,"teacher_81","Programming","B",83
"0","In-Person",32,"_32","Student",10,"academy_2","teacher_2",NA,"Post Service","H",0,"email","parent",0,0,0,0,0,0,"89.2%",5,"teacher_30","Chemistry","D",65,"teacher_24","Drawing","B",84,"teacher_81","Programming","C",79,"teacher_63","Sports","A",94,"teacher_39","Culinary Arts","A",98,"teacher_28","Weight lifting","B",89,"teacher_79","Engineering","A",93,"teacher_18","Painting","F",53
"0","In-Person",33,"_33","Student",12,"academy_2","teacher_55",NA,"No Services","P",0,"email","parent",0,0,0,0,0,0,"72%",20,"teacher_63","Sports","A",95,"teacher_1","Statistics","A",100,"teacher_64","Geology","F",57,"teacher_24","Trigonometry","B",82,"teacher_47","Geometry","C",77,"teacher_78","Personal finance","C",77,"teacher_59","Pre-Calc","F",30,"teacher_45","Sculpting","B",86
"0","In-Person",34,"_34","Student",11,"academy_2","teacher_86",NA,"No Services","I",0,"email","parent",0,0,0,0,0,0,"98.1%",2,"teacher_79","Engineering","A",97,"teacher_12","acting","A",100,"teacher_26","American History","D",68,"teacher_47","Geometry","A",99,"teacher_38","Forensics","C",77,"teacher_68","Algebra 1","B",88,"teacher_87","Calculus","A",90,"teacher_63","Sports","B",87
"0","In-Person",35,"_35","Student",9,"academy_4","teacher_38","Yes","Monitoring","A",0,"email","parent",0,0,0,0,0,0,"90.4%",10,"teacher_59","Pre-Calc","A",91,"teacher_31","Genetics","B",84,"teacher_84","Economics","A",95,"teacher_40","Biology","B",85,"teacher_96","Theatre Craft","A",92,"teacher_25","Physics","F",59,"teacher_24","World History","A",90,"teacher_26","American History","B",89
"0","In-Person",36,"_36","Student",12,"academy_6","teacher_22",NA,"No Services","W",0,"email","parent",0,0,0,0,0,0,"74.9%",2,"teacher_81","Programming","B",81,"teacher_78","Personal finance","F",49,"teacher_30","Chemistry","B",88,"teacher_77","English 1","A",91,"teacher_79","Engineering","B",89,"teacher_40","Biology","F",53,"teacher_63","English 3","B",87,"teacher_15","Wood shop","B",86
"0","In-Person",37,"_37","Student",10,"academy_6","teacher_53",NA,"No Services","H",0,"email","parent",0,0,0,0,0,0,"98.5%",24,"teacher_24","World History","A",95,"teacher_59","Home Economics","B",89,"teacher_45","Sculpting","A",90,"teacher_41","PE","B",87,"teacher_18","Painting","B",83,"teacher_24","Drawing","A",98,"teacher_12","acting","F",49,"teacher_79","Engineering","A",91
"0","In-Person",38,"_38","Student",9,"academy_3","teacher_4",NA,"Monitoring","B",0,"email","parent",0,0,0,0,0,0,"85.2%",9,"teacher_77","English 1","C",72,"teacher_64","Geology","C",74,"teacher_83","Run/Ski","C",78,"teacher_63","English 3","B",84,"teacher_24","Drawing","B",82,"teacher_81","Metal Shop","C",74,"teacher_41","PE","B",87,"teacher_51","Auto Shop","A",90
"0","In-Person",39,"_39","Student",12,"academy_3","teacher_58",NA,"Post Service","I",0,"email","parent",0,0,0,0,0,0,"94.6%",12,"teacher_78","Personal finance","C",73,"teacher_79","Engineering","A",97,"teacher_12","acting","A",93,"teacher_31","Genetics","C",73,"teacher_47","Geometry","F",47,"teacher_39","Culinary Arts","A",91,"teacher_45","Sculpting","B",88,"teacher_36","English 4","B",85
"0","In-Person",40,"_40","Student",10,"academy_1","teacher_68",NA,"No Services","H",0,"email","parent",0,0,0,0,0,0,"79%",2,"teacher_87","Calculus","C",77,"teacher_12","acting","F",55,"teacher_47","Geometry","F",27,"teacher_45","Sculpting","B",86,"teacher_30","Chemistry","F",53,"teacher_64","Geology","B",84,"teacher_68","Algebra 1","F",59,"teacher_59","Pre-Calc","B",88
"0","In-Person",41,"_41","Student",10,"academy_5","teacher_16",NA,"No Services","P",0,"email","parent",0,0,0,0,0,0,"99.3%",1,"teacher_24","Trigonometry","D",69,"teacher_51","Auto Shop","F",39,"teacher_55","Environmental Science","D",68,"teacher_59","Pre-Calc","A",95,"teacher_31","Genetics","F",37,"teacher_45","Sculpting","D",68,"teacher_64","Geology","B",81,"teacher_32","Geography","B",82
"0","In-Person",42,"_42","Student",12,"academy_5","teacher_21",NA,"No Services","I",0,"email","parent",0,0,0,0,0,0,"94.7%",13,"teacher_83","Run/Ski","C",75,"teacher_41","PE","A",96,"teacher_31","Genetics","B",86,"teacher_77","English 1","B",86,"teacher_48","Algebra 2","B",89,"teacher_15","Wood shop","B",89,"teacher_12","acting","A",97,"teacher_96","Theatre Craft","C",76
"0","In-Person",43,"_43","Student",10,"academy_3","teacher_53",NA,"No Services","U",0,"email","parent",0,0,0,0,0,0,"64.5%",23,"teacher_15","Wood shop","F",5,"teacher_78","Personal finance","A",95,"teacher_28","Weight lifting","B",83,"teacher_24","Drawing","A",94,"teacher_81","Programming","B",88,"teacher_84","Economics","B",83,"teacher_83","Run/Ski","D",63,"teacher_26","American History","F",54
"0","In-Person",44,"_44","Student",9,"academy_1","teacher_49",NA,"Monitoring","W",0,"email","parent",0,0,0,0,0,0,"99%",8,"teacher_51","Auto Shop","C",73,"teacher_45","Sculpting","F",50,"teacher_36","English 4","A",91,"teacher_62","Speech","C",72,"teacher_55","Environmental Science","D",68,"teacher_78","Personal finance","B",83,"teacher_48","Algebra 2","F",56,"teacher_24","World History","D",69
"0","In-Person",45,"_45","Student",9,"academy_1","teacher_24",NA,"No Services","I",0,"email","parent",0,0,0,0,0,0,"71.2%",15,"teacher_30","Chemistry","A",94,"teacher_31","Genetics","B",87,"teacher_87","Calculus","B",80,"teacher_96","Theatre Craft","A",96,"teacher_41","PE","C",72,"teacher_47","Geometry","A",93,"teacher_15","Wood shop","B",88,"teacher_28","Weight lifting","F",55
"0","In-Person",46,"_46","Student",12,"academy_6","teacher_79",NA,"No Services","W",0,"email","parent",0,0,0,0,0,0,"91%",24,"teacher_51","Auto Shop","A",100,"teacher_31","Genetics","A",92,"teacher_12","acting","D",67,"teacher_77","English 1","B",81,"teacher_62","Speech","C",70,"teacher_96","Theatre Craft","A",91,"teacher_24","Drawing","C",75,"teacher_84","Economics","B",88
"0","In-Person",47,"_47","Student",11,"academy_3","teacher_53",NA,"No Services","I",0,"email","parent",0,0,0,0,0,0,"91.8%",8,"teacher_26","American History","A",100,"teacher_24","Trigonometry","B",85,"teacher_24","Drawing","C",79,"teacher_30","Chemistry","B",85,"teacher_62","Speech","D",68,"teacher_87","Calculus","B",87,"teacher_77","English 1","A",99,"teacher_38","Forensics","A",95
"0","In-Person",48,"_48","Student",10,"academy_4","teacher_5",NA,"No Services","H",0,"email","parent",0,0,0,0,0,0,"98.5%",14,"teacher_26","American History","A",90,"teacher_15","Wood shop","B",86,"teacher_24","Trigonometry","C",74,"teacher_1","Statistics","F",41,"teacher_68","Algebra 1","A",91,"teacher_47","Geometry","B",89,"teacher_45","Sculpting","F",34,"teacher_63","English 3","A",100
"0","In-Person",49,"_49","Student",10,"academy_6","teacher_75",NA,"Monitoring","B",0,"email","parent",0,0,0,0,0,0,"97%",18,"teacher_39","Culinary Arts","B",87,"teacher_59","Pre-Calc","B",86,"teacher_84","Economics","D",64,"teacher_55","Environmental Science","F",52,"teacher_22","English 2","A",96,"teacher_63","Sports","D",62,"teacher_81","Metal Shop","A",90,"teacher_51","Auto Shop","B",85
"0","In-Person",50,"_50","Student",9,"academy_6","teacher_27",NA,"No Services","A",0,"email","parent",0,0,0,0,0,0,"77.5%",12,"teacher_48","Algebra 2","A",92,"teacher_62","Speech","A",94,"teacher_22","English 2","C",78,"teacher_96","Theatre Craft","F",45,"teacher_31","Genetics","B",80,"teacher_79","Engineering","B",85,"teacher_39","Culinary Arts","B",87,"teacher_28","Weight lifting","B",80
"0","In-Person",51,"_51","Student",12,"academy_1","teacher_92",NA,"No Services","P",0,"email","parent",0,0,0,0,0,0,"96.5%",1,"teacher_83","Run/Ski","A",94,"teacher_48","Algebra 2","A",90,"teacher_64","Geology","D",68,"teacher_63","English 3","C",77,"teacher_77","English 1","B",83,"teacher_84","Economics","B",81,"teacher_81","Programming","D",68,"teacher_79","Engineering","A",92
"0","In-Person",52,"_52","Student",9,"academy_2","teacher_68",NA,"No Services","A",0,"email","parent",0,0,0,0,0,0,"92.2%",16,"teacher_18","Painting","D",67,"teacher_15","Wood shop","C",73,"teacher_63","English 3","A",97,"teacher_26","American History","B",80,"teacher_83","Run/Ski","B",89,"teacher_81","Programming","C",70,"teacher_24","Drawing","B",81,"teacher_48","Algebra 2","B",83
"0","In-Person",53,"_53","Student",10,"academy_4","teacher_87","Yes","No Services","A",0,"email","parent",0,0,0,0,0,0,"98.5%",20,"teacher_95","Auto-Cad","B",83,"teacher_77","English 1","C",79,"teacher_1","Statistics","C",77,"teacher_55","Environmental Science","A",91,"teacher_81","Programming","D",65,"teacher_59","Home Economics","B",85,"teacher_18","Painting","A",90,"teacher_26","American History","C",79
"0","In-Person",54,"_54","Student",10,"academy_6","teacher_6",NA,"No Services","B",0,"email","parent",0,0,0,0,0,0,"97.1%",8,"teacher_24","World History","B",87,"teacher_1","Statistics","F",52,"teacher_78","Personal finance","A",97,"teacher_63","Sports","C",71,"teacher_41","PE","C",72,"teacher_95","Auto-Cad","C",70,"teacher_28","Weight lifting","A",93,"teacher_24","Trigonometry","C",72
"0","In-Person",55,"_55","Student",12,"academy_1","teacher_36",NA,"No Services","P",0,"email","parent",0,0,0,0,0,0,"97.1%",24,"teacher_18","Painting","C",70,"teacher_39","Culinary Arts","A",92,"teacher_83","Run/Ski","A",97,"teacher_81","Programming","B",83,"teacher_12","acting","C",74,"teacher_64","Geology","F",49,"teacher_36","English 4","A",95,"teacher_68","Algebra 1","D",64
"0","In-Person",56,"_56","Student",11,"academy_6","teacher_17",NA,"No Services","P",0,"email","parent",0,0,0,0,0,0,"82.6%",19,"teacher_40","Biology","B",83,"teacher_84","Economics","B",82,"teacher_63","Sports","F",49,"teacher_55","Environmental Science","B",82,"teacher_81","Metal Shop","B",87,"teacher_30","Chemistry","D",64,"teacher_1","Statistics","B",87,"teacher_95","Auto-Cad","A",94
"0","In-Person",57,"_57","Student",10,"academy_4","teacher_65",NA,"No Services","M",0,"email","parent",0,0,0,0,0,0,"88%",21,"teacher_81","Programming","B",84,"teacher_62","Speech","D",62,"teacher_48","Algebra 2","B",89,"teacher_38","Forensics","C",77,"teacher_51","Auto Shop","F",57,"teacher_12","acting","D",69,"teacher_55","Environmental Science","B",82,"teacher_1","Statistics","D",63
"0","In-Person",58,"_58","Student",9,"academy_2","teacher_71",NA,"No Services","A",0,"email","parent",0,0,0,0,0,0,"92.8%",20,"teacher_15","Wood shop","B",81,"teacher_62","Speech","B",85,"teacher_78","Personal finance","F",43,"teacher_64","Geology","A",91,"teacher_96","Theatre Craft","A",90,"teacher_24","World History","B",83,"teacher_24","Trigonometry","B",80,"teacher_59","Pre-Calc","C",79
"0","In-Person",59,"_59","Student",10,"academy_3","teacher_83","Yes","No Services","M",0,"email","parent",0,0,0,0,0,0,"99.3%",3,"teacher_84","Economics","A",99,"teacher_24","World History","A",92,"teacher_24","Drawing","D",69,"teacher_12","acting","C",74,"teacher_38","Forensics","B",89,"teacher_64","Geology","A",90,"teacher_41","PE","B",89,"teacher_39","Culinary Arts","C",72
"0","In-Person",60,"_60","Student",12,"academy_1","teacher_21",NA,"No Services","M",0,"email","parent",0,0,0,0,0,0,"86.9%",7,"teacher_87","Calculus","F",56,"teacher_25","Physics","A",97,"teacher_55","Environmental Science","C",76,"teacher_22","English 2","F",54,"teacher_84","Economics","F",41,"teacher_64","Geology","A",90,"teacher_40","Biology","A",91,"teacher_18","Painting","A",99
"0","In-Person",61,"_61","Student",12,"academy_2","teacher_4",NA,"No Services","I",0,"email","parent",0,0,0,0,0,0,"99.7%",11,"teacher_96","Theatre Craft","B",89,"teacher_36","English 4","A",95,"teacher_31","Genetics","A",96,"teacher_84","Economics","C",74,"teacher_83","Run/Ski","B",87,"teacher_77","English 1","A",91,"teacher_24","Drawing","A",92,"teacher_59","Home Economics","C",79
"0","In-Person",62,"_62","Student",11,"academy_5","teacher_94",NA,"No Services","H",0,"email","parent",0,0,0,0,0,0,"92.3%",15,"teacher_63","English 3","A",92,"teacher_64","Geology","A",93,"teacher_79","Engineering","B",88,"teacher_25","Physics","D",68,"teacher_24","World History","F",50,"teacher_62","Speech","B",89,"teacher_22","English 2","F",42,"teacher_12","acting","C",76
"0","In-Person",63,"_63","Student",12,"academy_3","teacher_69",NA,"No Services","A",0,"email","parent",0,0,0,0,0,0,"99%",15,"teacher_59","Pre-Calc","B",82,"teacher_26","American History","C",78,"teacher_22","English 2","C",77,"teacher_25","Physics","B",89,"teacher_55","Environmental Science","F",57,"teacher_83","Run/Ski","C",72,"teacher_31","Genetics","C",76,"teacher_45","Sculpting","A",90
"0","In-Person",64,"_64","Student",12,"academy_2","teacher_38",NA,"No Services","M",0,"email","parent",0,0,0,0,0,0,"92.9%",12,"teacher_83","Run/Ski","A",96,"teacher_31","Genetics","B",84,"teacher_64","Geology","F",54,"teacher_45","Sculpting","A",99,"teacher_18","Painting","A",94,"teacher_38","Forensics","C",72,"teacher_22","English 2","F",18,"teacher_63","English 3","F",46
"0","In-Person",65,"_65","Student",12,"academy_3","teacher_88",NA,"No Services","W",0,"email","parent",0,0,0,0,0,0,"82.7%",11,"teacher_81","Metal Shop","C",77,"teacher_81","Programming","A",94,"teacher_18","Painting","B",88,"teacher_31","Genetics","F",58,"teacher_39","Culinary Arts","A",96,"teacher_1","Statistics","A",96,"teacher_32","Geography","F",57,"teacher_48","Algebra 2","A",91
"0","In-Person",66,"_66","Student",12,"academy_6","teacher_50",NA,"No Services","H",0,"email","parent",0,0,0,0,0,0,"90.9%",3,"teacher_59","Pre-Calc","C",71,"teacher_26","American History","B",89,"teacher_83","Run/Ski","B",88,"teacher_77","English 1","B",86,"teacher_64","Geology","B",80,"teacher_32","Geography","A",90,"teacher_24","Trigonometry","B",83,"teacher_63","Sports","C",70
"0","In-Person",67,"_67","Student",12,"academy_5","teacher_24",NA,"No Services","U",0,"email","parent",0,0,0,0,0,0,"74.4%",17,"teacher_31","Genetics","C",73,"teacher_38","Forensics","D",61,"teacher_41","PE","B",86,"teacher_51","Auto Shop","B",87,"teacher_96","Theatre Craft","C",72,"teacher_79","Engineering","B",83,"teacher_12","acting","B",85,"teacher_28","Weight lifting","C",78
